"alphat","p","T","Un:0","Un:1","Un:2","U:0","U:1","U:2","Us:0","Us:1","Us:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.06174881896e-05,2.000497341156,0.023876413702965,-7.3776449426077e-05,0,-0.0057109459303319,-7.332453969866e-05,0,-0.056598402559757,-7.2547292802483e-05,0,1,0.00018000000272878,0.0074999998323619,0.00018000000272878,4.9999998736894e-05
0,-2.0617351765395e-05,2.000497341156,0.024447726085782,-7.6291435107123e-05,0,-0.0051396335475147,-7.583448314108e-05,0,-0.056027092039585,-7.5048577855341e-05,0,1,0.00018500001169741,0.0074999998323619,0.00018500001169741,4.9999998736894e-05
0,-2.061721534119e-05,2.000497341156,0.025019036605954,-7.8806406236254e-05,0,-0.0045683225616813,-7.8344419307541e-05,0,-0.055455781519413,-7.7549855632242e-05,0,1,0.00019000000611413,0.0074999998323619,0.00019000000611413,4.9999998736894e-05
0,-2.0617080735974e-05,2.000497341156,0.025590348988771,-8.1321391917299e-05,0,-0.003997010178864,-8.0854370025918e-05,0,-0.054884470999241,-8.00511406851e-05,0,1,0.00019500001508277,0.0074999998323619,0.00019500001508277,4.9999998736894e-05
0,-2.0616944311769e-05,2.000497341156,0.026161659508944,-8.383636304643e-05,0,-0.0034256996586919,-8.3364306192379e-05,0,-0.054313160479069,-8.2552418462001e-05,0,1,0.00020000000949949,0.0074999998323619,0.00020000000949949,4.9999998736894e-05
0,-2.0616958863684e-05,2.000497341156,0.026693152263761,-8.5773164755665e-05,0,-0.0028942059725523,-8.5300365753938e-05,0,-0.053781665861607,-8.4487204730976e-05,0,1,0.00020500000391621,0.0074999998323619,0.00020500000391621,4.9999998736894e-05
0,-2.0616973415599e-05,2.000497341156,0.027224648743868,-8.7709973740857e-05,0,-0.0023627106565982,-8.7236432591453e-05,0,-0.053250171244144,-8.6421990999952e-05,0,1,0.00021000001288485,0.0074999998323619,0.00021000001288485,4.9999998736894e-05
0,-2.0616989786504e-05,2.000497341156,0.027756141498685,-8.9646775450092e-05,0,-0.0018312168540433,-8.9172492153011e-05,0,-0.052718676626682,-8.8356777268928e-05,0,1,0.00021500000730157,0.0074999998323619,0.00021500000730157,4.9999998736894e-05
0,-2.0617004338419e-05,2.000497341156,0.028287636116147,-9.1583577159327e-05,0,-0.0012997216545045,-9.1108558990527e-05,0,-0.05218718200922,-9.0291570813861e-05,0,1,0.00022000001627021,0.0074999998323619,0.00022000001627021,4.9999998736894e-05
0,-2.0617018890334e-05,2.000497341156,0.028819130733609,-9.3520378868561e-05,0,-0.00076822785194963,-9.3044618552085e-05,0,-0.051655687391758,-9.2226349806879e-05,0,1,0.00022500001068693,0.0074999998323619,0.00022500001068693,4.9999998736894e-05
0,-2.061703344225e-05,2.000497341156,0.029350623488426,-9.5457180577796e-05,0,-0.00023673407849856,-9.4980678113643e-05,0,-0.051124192774296,-9.4161136075854e-05,0,1,0.00023000000510365,0.0074999998323619,0.00023000000510365,4.9999998736894e-05
